variable,display_name,unit,group,cluster,n,mean,standard_deviation,median,q1,q3,minimum,maximum,skewness
pao2,Arterial PaO₂,mm Hg,Overall,,116573,116.66040163674265,61.52112897729197,103.0,103.0,103.0,20.0,668.0,3.6217501061072555
pao2,Arterial PaO₂,mm Hg,Cluster 0,0.0,32719,119.29449249671444,68.853698346651,103.0,100.0,103.0,20.6,668.0,3.134840809127574
pao2,Arterial PaO₂,mm Hg,Cluster 1,1.0,83854,115.632605480955,58.37912978908699,103.0,103.0,103.0,20.0,636.0,3.86511082975205
platelets,Platelet count,×10³/µL,Overall,,116573,203.8834721590763,96.6347520666587,191.0,143.0,247.0,1.0,1857.0,1.6140830809537932
platelets,Platelet count,×10³/µL,Cluster 0,0.0,32719,181.7120633271188,100.72444271925323,171.0,113.0,229.0,1.0,1659.0,1.4744324334574055
platelets,Platelet count,×10³/µL,Cluster 1,1.0,83854,212.53453621771175,93.57780133357394,195.0,154.0,253.0,1.0,1857.0,1.8020468852083233
troponin,Troponin,source unit,Overall,,116573,1.3666947148996764,12.50743263735666,0.19,0.19,0.19,0.0,853.14,26.094808964840027
troponin,Troponin,source unit,Cluster 0,0.0,32719,1.772621351508298,14.79029400745032,0.19,0.19,0.19,0.0,813.15,22.50771063019727
troponin,Troponin,source unit,Cluster 1,1.0,83854,1.208306163092995,11.49057704660228,0.19,0.19,0.19,0.0,853.14,28.030507261341572
glucose,Glucose,mg/dL,Overall,,116573,147.92311255608075,81.24969519515228,128.0,104.0,164.0,20.0,1791.0,4.720759331860363
glucose,Glucose,mg/dL,Cluster 0,0.0,32719,168.33570708151228,117.14199858631366,136.0,106.0,188.0,20.0,1791.0,4.1461069407037945
glucose,Glucose,mg/dL,Cluster 1,1.0,83854,139.958320414053,59.97650044559964,126.0,103.0,157.0,20.0,1311.0,3.128760445040705
sodium,Sodium,mEq/L,Overall,,116573,138.33265850582896,5.3535473635203354,139.0,136.0,141.0,93.0,195.0,-0.20510945674535308
sodium,Sodium,mEq/L,Cluster 0,0.0,32719,137.88382591154988,6.477920340899561,138.0,134.0,141.0,98.0,184.0,0.3443258991833821
sodium,Sodium,mEq/L,Cluster 1,1.0,83854,138.50778853721945,4.833315633985181,139.0,136.0,141.0,93.0,195.0,-0.624099914820559
hemoglobin,Hemoglobin,g/dL,Overall,,116573,10.951929434774776,2.281731296214533,10.9,9.3,12.5,2.1,23.6,0.1648163735308679
hemoglobin,Hemoglobin,g/dL,Cluster 0,0.0,32719,10.00863412695987,2.245782368235518,9.8,8.4,11.3,2.1,23.6,0.5031246346421878
hemoglobin,Hemoglobin,g/dL,Cluster 1,1.0,83854,11.319993918000334,2.187965937734796,11.2,9.8,12.8,2.6,23.0,0.10110965392722276
chloride,Chloride,mEq/L,Overall,,116573,104.32455113962925,6.750624366434933,105.0,101.0,108.0,52.0,150.0,-0.31858945870238387
chloride,Chloride,mEq/L,Cluster 0,0.0,32719,104.1795898407653,7.965634533396727,104.0,99.0,109.0,58.0,150.0,0.03185242128722649
chloride,Chloride,mEq/L,Cluster 1,1.0,83854,104.38111360221338,6.211557570931791,105.0,101.0,108.0,52.0,150.0,-0.577111149754485
bicarbonate,Bicarbonate,mEq/L,Overall,,116573,24.091023650416478,5.623991037281167,24.0,21.0,27.0,2.0,60.0,0.4864306157014281
bicarbonate,Bicarbonate,mEq/L,Cluster 0,0.0,32719,21.17328157951038,5.516401096274559,21.0,18.0,24.8,2.0,58.2,0.048013671010901406
bicarbonate,Bicarbonate,mEq/L,Cluster 1,1.0,83854,25.229497698380516,5.242077009111631,25.0,22.0,27.3,2.0,60.0,0.9402451328323559
lactate,Lactate,mmol/L,Overall,,116573,1.9319687234608354,1.3611130736201207,1.7,1.7,1.7,0.1,30.0,6.654552762413315
lactate,Lactate,mmol/L,Cluster 0,0.0,32719,2.5415929582199945,2.3205061815599968,1.7,1.7,2.4,0.1,30.0,3.85525912324254
lactate,Lactate,mmol/L,Cluster 1,1.0,83854,1.6940993870298373,0.5223821963358576,1.7,1.7,1.7,0.1,16.67,5.680937909948606
albumin,Albumin,g/dL,Overall,,116573,2.878527188971717,0.4910770029234547,2.9,2.8,2.9,0.6,6.0,-0.2075350432111265
albumin,Albumin,g/dL,Cluster 0,0.0,32719,2.671572786454354,0.5541325130287058,2.9,2.3,2.9,0.6,6.0,-0.3663049132127292
albumin,Albumin,g/dL,Cluster 1,1.0,83854,2.959278746392539,0.438418798501598,2.9,2.9,3.0,0.6,5.5,0.24807831341776337
