,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,iqr,missing_count,missing_percent,skewness
bun,116573.0,3.1001314062606804,0.663902421114733,0.6931471805599453,1.6094379124341003,2.0794415416798357,2.6390573296152584,3.044522437723423,3.5263605246161616,4.276666119016055,4.709530201312334,5.521460917862246,0.8873031950009032,0,0.0,0.2767516349180746
creatinine,116573.0,0.8253573810510064,0.4163254345729906,0.09531017980432487,0.3074846997479606,0.4054651081081644,0.5596157879354227,0.6931471805599453,0.9555114450274363,1.7404661748405046,2.316487998163037,3.4111477125153233,0.3958956570920137,0,0.0,1.7921990867369704
inr,116573.0,0.8654255873985801,0.17399334777063366,0.5306282510621704,0.6830968447064438,0.6931471805599453,0.832909122935104,0.832909122935104,0.832909122935104,1.1939224684724346,1.7047480922384253,3.039749158970765,0.0,0,0.0,4.179271729277158
pao2,116573.0,4.688700012598987,0.35935561547865363,3.044522437723423,3.871201010907891,4.189654742026425,4.6443908991413725,4.6443908991413725,4.6443908991413725,5.480638923341991,6.030685260261263,6.505784060128229,0.0,0,0.0,1.4175943720622823
platelets,116573.0,5.207440633580941,0.5157358766551434,0.6931471805599453,3.4965075614664802,4.31748811353631,4.969813299576001,5.2574953720277815,5.5134287461649825,5.929589143389895,6.261491684321042,7.527255919373784,0.5436154465889818,0,0.0,-1.203452370751899
troponin,116573.0,0.286926261050838,0.5476981358480888,0.0,0.018821754240587758,0.04783732941416013,0.17395330712343804,0.17395330712343804,0.17395330712343804,0.9707789171582248,3.3531549255518645,6.75009511477902,0.0,0,0.0,5.591764570052802
glucose,116573.0,4.9141572502243545,0.3915341013111637,3.044522437723423,4.1588830833596715,4.406719247264253,4.653960350157523,4.859812404361672,5.10594547390058,5.634789603169249,6.129050210060545,7.491087593534876,0.4519851237430572,0,0.0,0.9713515059764335
sodium,116573.0,138.33265850582896,5.3535473635203354,93.0,123.0,130.0,136.0,139.0,141.0,146.0,152.0,195.0,5.0,0,0.0,-0.20510945674535308
hemoglobin,116573.0,10.951929434774776,2.281731296214533,2.1,6.1,7.4,9.3,10.9,12.5,14.8,16.3,23.6,3.1999999999999993,0,0.0,0.1648163735308679
chloride,116573.0,104.32455113962925,6.750624366434933,52.0,86.0,93.0,101.0,105.0,108.0,114.0,120.0,150.0,7.0,0,0.0,-0.31858945870238387
bicarbonate,116573.0,24.091023650416478,5.623991037281167,2.0,9.0,15.0,21.0,24.0,27.0,33.0,41.0,60.0,6.0,0,0.0,0.4864306157014281
lactate,116573.0,1.0260367073295968,0.27119964388391293,0.09531017980432487,0.4700036292457356,0.6418538861723948,0.9932517730102833,0.9932517730102833,0.9932517730102833,1.547562508716013,2.2407096892759584,3.4339872044851463,0.0,0,0.0,2.750375023668853
albumin,116573.0,2.878527188971717,0.4910770029234547,0.6,1.5,1.9,2.8,2.9,2.9,3.7,4.2,6.0,0.10000000000000009,0,0.0,-0.2075350432111265
